A,B,C,D,E
1.4465402552544424,0.3623175306646171,0.8620026386848417,-1.2108250205302646,-1.371798416893365
0.6694355195324415,-1.2036957270770736,0.4596906382699671,1.1938063482279753,0.08637959645061306
0.1264307129939675,-0.2826600502524205,1.5764594477928626,-1.3459598868671039,-0.27335300939126456
-1.379866232235208,-0.28411574280643065,-0.7226931092645077,-2.386398234472002,-0.9344518613566858
1.3083203090868978,-1.2274587376211825,0.5281544672071533,0.7630385064915262,-1.290223111910464
1.041445104039242,-1.718931057466126,0.9832652275330636,-1.2516152552585076,-1.4093677151287178
0.7559987376023123,0.720841554431534,-0.6651957569665223,-0.27525260704575777,-0.29540243566517055
1.036145598288707,-1.740851083388065,1.409072951557473,-0.5243752955869126,-0.4749025090687576
-0.7853743340080017,1.345021298563272,-0.8936806596137428,0.4136613942506831,0.23533982326750272
0.8867607978389795,1.160408541259916,-0.8828444877145826,-0.6220180670862702,-3.28765906696087
